id;name;address;ext_id;ext_name;ext_address;
70000001006341600;Стардог!s, сеть кафе и киосков быстрого питания;Сущёвский Вал, 5 ст6;4f15bcb5e4b0865b0bdee749;Sbarro;ул. Большая Новодмитровская, 12, стр. 12;
70000001006341600;Стардог!s, сеть кафе и киосков быстрого питания;Сущёвский Вал, 5 ст6;52b6b0aa498ef426f6da67cc;Sóho Outlet;"ТЦ ""Савёловский""";
70000001006341600;Стардог!s, сеть кафе и киосков быстрого питания;Сущёвский Вал, 5 ст6;503245fae4b02982278817b5;Samsonite Outlet;ТК «Савеловский»;
70000001006341600;Стардог!s, сеть кафе и киосков быстрого питания;Сущёвский Вал, 5 ст6;536d39b3498ee39f668f5402;Samsung Brand Store;ТЦ «Савеловский»;
4504127908543260;Алиби, ресторан-клуб;Ащеулов пер, 9;4d95afc161a3a1cd38428842;Алиби;Ащеулов пер., 9;
4504127917645180;Дарс-М, парикмахерская;Сиреневый бульвар, 69 к1;502a6880e4b011d233b8bca7;Дарс-М;Сиреневый Бульвар 69 К 1;
4504127917645180;Дарс-М, парикмахерская;Сиреневый бульвар, 69 к1;4c2ef4f8ed37a59337846603;Стар и млад;Сиреневый бул., 69К1;
4504127908372390;АртПрактика, стоматологический центр;Никольская, 17 ст1;4fd1f1fee4b0e8273d9ce9a5;Арт Практика;Никольская улица,17/2;
4504127908372390;АртПрактика, стоматологический центр;Никольская, 17 ст1;508fbc90e4b03a2b6ab480b2;ООО АртОкс;Улица Никольская Д.10/2;
4504127908372560;Астрея, медицинский центр;15-й микрорайон (Зеленоград), к1505;4f5ecb00e4b0908541195e7b;Астрея;Зеленоград, К. 1505;
4504127908372560;Астрея, медицинский центр;15-й микрорайон (Зеленоград), к1505;500a888fe4b02b2a7ef0e647;"Лечебный центр ""Астрея""";Зеленоград, к. 1505;
4504128908355730;Сhevrolet, автосалон;Люблинская, 60;5444d217498e85f5d9143d61;Opel Сервис;Люблинская 60;
4504128908355730;Сhevrolet, автосалон;Люблинская, 60;4e4b5a6318a808fd10fcc38d;У Сервис+;Люблинская ул., 60;
4504128908355730;Сhevrolet, автосалон;Люблинская, 60;4ee0fa5d49010b29921837f9;Мойка с 9 до 23;Поречная Ул 7/13;
4504128908355730;Сhevrolet, автосалон;Люблинская, 60;52be6bff11d27ee2c9364b0d;"Отдел Удаленного Урегулирования Убытков в ""У Сервис+""";Москва, ул. Люблинская, д.60;
4504128908355730;Сhevrolet, автосалон;Люблинская, 60;52ebaed7498e5c3a9c7ebaec;Складовка;Люблинская, д.64;
70000001007490700;Mini, отель;Ленинградский проспект, 26 к2;53f3011b498e7ca5dd5fb4b6;Hotel Mini;Ленинградский проспект, 26, стр. 2;
4504127918164200;Comedy cafe, кафе;Дмитровское шоссе, 163а;50954413e4b075af192a2707;Comedy Cafe;"ТРЦ ""РИО"", 2 этаж";
70000001006434700;ГлавАвтоРемонт, ООО, автосервис по ремонту Volvo;Загородное шоссе, 1 к2 ст12;521eeae911d2b714d1496929;ГлавАвтоРемонт;Загородное шоссе, д.1, кор. 2, стр.12;
4504128908412540;Mr Ponch, кафе;Симферопольское шоссе 38 км, вл4;5095307fe4b0f17ed559c07d;Mr. Ponch;ТЦ Хамелеон, Симферопольское Шоссе;
4504127908351790;IL Патио, сеть ресторанов;Сиреневый бульвар, 31;514af1a1e4b02d81ddbbfccd;IL Патио;Сиреневый б-р., 31, стр.1;
4504127915630170;Автосервис;3 Почтовое отделение, 98а;5059c435e4b0b1f2785a3d60;Автосервис;ул. Маршала Полубоярова д. 98 А;
4504127908447050;ПИЦЦА-фабрика, сеть пиццерий;Исаковского, 6 к2;4f0422c5a69d5515ac933d16;Пицца Фабрика;ул. Исаковского, 6, корп. 2;
4504127908551210;True Art Tattoo Studio, тату-студия;Стромынка, 11;5141ee2ae4b006b2cb007995;True Art Tattoo Studio Moscow;Стромынка д11;
4504127917584960;Кинза, кафе;Алтуфьевское шоссе, 16;4df3693cb0fb807158c21a95;Кинза;Алтуфьевское ш., 16;
